Title of Histogram: , HiggsMass
Number of trials: , 2022.0
Binlow , 100.0
Binhigh , 700.0
Binint , 2.0
nbins , 300
Underflows , 2018
Overflows , 4
Bin number , Centre , N , Error , %Error
209 , 519.0 , 0,0.0,0.0
210 , 521.0 , 0,0.0,0.0
211 , 523.0 , 0,0.0,0.0
212 , 525.0 , 0,0.0,0.0
213 , 527.0 , 0,0.0,0.0
214 , 529.0 , 0,0.0,0.0
215 , 531.0 , 0,0.0,0.0
216 , 533.0 , 0,0.0,0.0
217 , 535.0 , 0,0.0,0.0
218 , 537.0 , 0,0.0,0.0
219 , 539.0 , 0,0.0,0.0
220 , 541.0 , 0,0.0,0.0
221 , 543.0 , 0,0.0,0.0
222 , 545.0 , 0,0.0,0.0
223 , 547.0 , 0,0.0,0.0
224 , 549.0 , 0,0.0,0.0
225 , 551.0 , 0,0.0,0.0
226 , 553.0 , 0,0.0,0.0
227 , 555.0 , 0,0.0,0.0
228 , 557.0 , 0,0.0,0.0
229 , 559.0 , 0,0.0,0.0
230 , 561.0 , 0,0.0,0.0
231 , 563.0 , 0,0.0,0.0
232 , 565.0 , 0,0.0,0.0
233 , 567.0 , 0,0.0,0.0
234 , 569.0 , 0,0.0,0.0
235 , 571.0 , 0,0.0,0.0
236 , 573.0 , 0,0.0,0.0
237 , 575.0 , 0,0.0,0.0
238 , 577.0 , 0,0.0,0.0
239 , 579.0 , 0,0.0,0.0
240 , 581.0 , 0,0.0,0.0
241 , 583.0 , 0,0.0,0.0
242 , 585.0 , 0,0.0,0.0
243 , 587.0 , 0,0.0,0.0
244 , 589.0 , 0,0.0,0.0
245 , 591.0 , 0,0.0,0.0
246 , 593.0 , 0,0.0,0.0
247 , 595.0 , 0,0.0,0.0
248 , 597.0 , 0,0.0,0.0
249 , 599.0 , 0,0.0,0.0
250 , 601.0 , 0,0.0,0.0
251 , 603.0 , 0,0.0,0.0
252 , 605.0 , 0,0.0,0.0
253 , 607.0 , 0,0.0,0.0
254 , 609.0 , 0,0.0,0.0
255 , 611.0 , 0,0.0,0.0
256 , 613.0 , 0,0.0,0.0
257 , 615.0 , 0,0.0,0.0
258 , 617.0 , 0,0.0,0.0
259 , 619.0 , 0,0.0,0.0
260 , 621.0 , 0,0.0,0.0
261 , 623.0 , 0,0.0,0.0
262 , 625.0 , 0,0.0,0.0
263 , 627.0 , 0,0.0,0.0
264 , 629.0 , 0,0.0,0.0
265 , 631.0 , 0,0.0,0.0
266 , 633.0 , 0,0.0,0.0
267 , 635.0 , 0,0.0,0.0
268 , 637.0 , 0,0.0,0.0
269 , 639.0 , 0,0.0,0.0
270 , 641.0 , 0,0.0,0.0
271 , 643.0 , 0,0.0,0.0
272 , 645.0 , 0,0.0,0.0
273 , 647.0 , 0,0.0,0.0
274 , 649.0 , 0,0.0,0.0
275 , 651.0 , 0,0.0,0.0
276 , 653.0 , 0,0.0,0.0
277 , 655.0 , 0,0.0,0.0
278 , 657.0 , 0,0.0,0.0
279 , 659.0 , 0,0.0,0.0
280 , 661.0 , 0,0.0,0.0
281 , 663.0 , 0,0.0,0.0
282 , 665.0 , 0,0.0,0.0
283 , 667.0 , 0,0.0,0.0
284 , 669.0 , 0,0.0,0.0
285 , 671.0 , 0,0.0,0.0
286 , 673.0 , 0,0.0,0.0
287 , 675.0 , 0,0.0,0.0
288 , 677.0 , 0,0.0,0.0
289 , 679.0 , 0,0.0,0.0
290 , 681.0 , 0,0.0,0.0
291 , 683.0 , 0,0.0,0.0
292 , 685.0 , 0,0.0,0.0
293 , 687.0 , 0,0.0,0.0
294 , 689.0 , 0,0.0,0.0
295 , 691.0 , 0,0.0,0.0
296 , 693.0 , 0,0.0,0.0
297 , 695.0 , 0,0.0,0.0
298 , 697.0 , 0,0.0,0.0
299 , 699.0 , 0,0.0,0.0
 , Overflow , 4 , 2.0 , 50.0
